;Tackles_TotalTackles;Tackles_DribbledPast;Tackles_TotalAttemptedTackles;Interception_Total;Fouls_Fouled;Fouls_Fouls;Cards_Yellow;Cards_Red;OffSides_CaughtOffside;Clearances_Total;Blocks_ShotsBlocked;Blocks_CrossesBlocked;Blocks_PassesBlocked;Saves_Total;Saves_SixYardBox;Saves_PenaltyArea;Saves_OutOfBox;PassesLength_Total;PassesLength_AccLB;PassesLength_InAccLB;PassesLength_AccSP;PassesLength_InAccSP;PassesType_AccCr;PassesType_InAccCr;PassesType_AccCrn;PassesType_InAccCrn;PassesType_AccFrK;PassesType_InAccFrK;ShotsZones_OutOfBox;ShotsZones_SixYardBox;ShotsZones_PenaltyArea;ShotsSituations_OpenPlay;shotsSituations_Counter;ShotsSituations_SetPiece;ShotsSituations_PenaltyTaken;ShotsAccuracy_OffTarget;ShotsAccuracy_OnPost;ShotsAccuracy_OnTarget;ShotsAccuracy_Blocked;ShotsBodyParts_RightFoot;ShotsBodyParts_LeftFoot;ShotsBodyParts_Head;ShotsBodyParts_Other;Dribbles_Unsuccessful;Dribbles_Successful;Dribbles_Total;PossesionLoss_UnsuccessfulTouches;PossesionLoss_Dispossessed;Aerial_Total;Aerial_Won;Aerial_Lost;Pts
Monaco16;18.7;9.9;28.7;18.4;13.2;14.3;2.2;0.1;2.3;23.5;2.6;2.5;10.5;3.1;0.1;1.6;1.3;411.1;27.3;30.1;295.9;57.7;4.9;18.1;2.4;3;9.7;3.5;4;1;6.2;7.3;0.1;3.5;0.2;4.7;0.3;4.4;2;4.8;3.9;2.4;0;6.7;10;16.7;14.1;13.7;37.2;18.2;18.9;65
Marseille16;19.7;9;28.7;19.1;13.8;13.5;1.9;0.2;2.4;15.6;2.2;1.9;8.4;2.7;0;1.6;1;489.5;24.6;31.5;379.3;54;5.8;19.5;2.7;3.2;11.1;3.2;4.7;0.6;7.2;9.3;0.2;3;0.1;5.2;0.3;4.8;2.5;6.2;4.2;2;0;10.6;14.3;24.8;14;13.7;30.9;14.7;16.2;48
Montpellier16;18.3;9.6;27.8;20.8;13.5;12.6;1.7;0.1;1.9;18.7;2.3;2.7;9.6;2.3;0.1;1.3;0.9;440.3;35.7;35.4;308.1;61.1;4.8;15.2;2;2.9;10;4.6;4.4;0.8;5.2;6.8;0.2;3.3;0.1;4.7;0.1;3.8;1.8;4.7;3.2;2.4;0.1;7.6;10.6;18.2;14.2;15.2;35.6;18.2;17.4;49
Rennes16;20.6;9.4;29.9;18.3;10.9;12.2;1.8;0.1;2.4;17.4;2.4;3.4;9.3;3.1;0.2;1.8;1.1;459.6;30.7;33.2;335.1;60.7;3.5;13.3;2.3;2.4;8.8;2.7;4.4;0.7;5.9;7.9;0.1;2.8;0.2;4.9;0.1;4;2.1;5.5;3.6;1.8;0;6.1;11.9;18;12.7;14.7;31.4;16.9;14.5;52
Caen16;21.8;10.6;32.4;17.5;11.7;12.2;1.4;0.2;2.3;20.2;2.8;2.9;11.8;3.1;0.2;1.8;1.1;336.7;30.7;33.8;206.2;66.1;4.8;18.9;1.5;3.6;6.1;5.4;5.6;0.8;6;8.9;0.3;3;0.2;4.9;0.2;4.6;2.8;7.1;3.2;2.1;0.1;9.3;8.3;17.6;13.7;10.5;40;22.6;17.4;54
Guingamp16;19.7;8.3;28;18.3;14.7;13.4;2;0.2;2.1;20.8;2.9;2.5;7.7;2.9;0.1;1.4;1.4;344.6;28.8;36.1;225.3;54.4;4.8;14.3;2.3;2.4;9.1;4.4;4.2;0.5;5.7;6.5;0.2;3.7;0.1;4.8;0.1;3.6;2.1;3.7;4.7;2;0;7.6;7.4;15;12.4;11.8;36.7;18.6;18.1;44
Toulouse16;23.6;8.9;32.5;19.4;14.4;14.1;1.9;0.3;2.3;23.2;2.1;2.5;9.3;2.2;0.1;1.3;0.8;396.1;19.3;38.8;276.1;61.9;4.9;14.6;1.6;2.9;8.8;5.2;4.1;0.7;6.5;7.5;0.3;3.2;0.2;5;0.2;4.2;2.2;7;2.6;1.7;0;7.9;10.6;18.4;13.8;15.1;34.7;16.8;17.9;40
Nantes16;21.4;11.3;32.7;16.2;10.9;15.9;2.1;0.1;2.3;21.9;2.4;2.4;9.7;2.5;0.1;1.4;1;423.2;35.1;35;290.6;62.4;5.9;17.4;2.2;2.4;7.1;3.6;5.1;0.6;5.7;8.5;0.1;2.8;0;5.1;0.3;3.5;2.7;6.2;2.8;2.3;0;4.3;8.7;13;13.4;14.2;39.3;19.4;19.9;48
Lorient16;16.4;9.5;25.9;22;12.4;12.1;1.7;0.2;1.9;19.6;2.6;2.1;8.5;3.2;0.1;1.8;1.3;455.2;32.7;35.1;331;56.4;3.7;13.6;1.7;2.8;9.8;3.7;4.7;0.6;5.6;8.4;0.1;2.2;0.2;4.5;0.1;4;2.4;5.8;3.4;1.7;0;8.4;12.2;20.7;14.7;13.4;28.4;13;15.4;46
Saint-Etienne16;20.4;8.7;29.1;16.7;11.6;15.6;1.9;0.1;2.3;19.9;2.5;2.7;8.5;2.8;0.1;1.8;1;426.9;28.4;38.9;299.1;60.5;4.7;16.2;1.8;3.7;7.4;4;5.3;0.7;5.5;7.7;0;3.6;0.1;5.1;0.1;3.6;2.8;6.8;2.7;2;0;7.2;6;13.2;14.9;11.6;36.3;17.7;18.6;58
Angers16;19.3;9.3;28.6;15.9;12.1;13.7;1.8;0.2;1.1;20.3;2.9;2.9;9.8;2.4;0.1;1.6;0.7;380.2;26.6;34.9;260.2;58.5;3.9;12.1;1.2;2.3;7.6;4.7;4.8;0.6;5.1;6.9;0.1;3.2;0.2;5.2;0.2;3.4;1.8;4.4;3.9;2.2;0;8.1;7.1;15.2;13.8;10.9;33.7;17.5;16.2;50
SC-Bastia16;18.8;10.2;29;17.4;12.6;14;2.2;0.3;2;23.6;2;2.3;9.9;2.7;0.2;1.4;1.1;367.5;30.9;42.6;236.9;57.1;3.3;13.8;1;2.4;8.4;5.7;4.3;0.3;4.2;6.3;0.2;2.2;0.1;4.1;0.2;2.9;1.7;4.4;2.8;1.5;0;6.4;8.5;14.8;12;10.9;41.4;18.3;23.1;50
Reims16;18.1;9.9;28;21.1;13;13.6;2.1;0.2;1.7;19.6;2.3;2.6;9.8;2.9;0.2;1.4;1.3;407.2;29.7;35.4;281;61.1;4.7;14.7;1.3;3.3;8.7;4.8;4.5;0.8;6.2;8.2;0.2;3;0.1;5;0.2;4.2;2.3;6;3.2;2.2;0.1;7.6;8.6;16.2;14.5;11.6;36.9;18.2;18.8;39
GFC-Ajaccio16;19.7;10.7;30.4;21.6;10.2;15.3;2.4;0.2;1.9;18.7;1.9;2.6;8.4;2.7;0.1;1.7;1;403.7;36.3;42.6;260.9;63.9;5.2;15.2;1.7;2.3;7.7;4.6;5.3;0.4;5.8;8.5;0.1;2.9;0.1;5.5;0.2;3.2;2.9;5.6;3.7;2.2;0;4;5.9;9.9;14.4;12.1;39;19.2;19.8;37
Troyes16;20.7;12;32.7;19.6;10.6;11.5;1.9;0.2;1.5;20.3;3.5;3.3;9.1;4;0.2;2.3;1.5;430.4;33.2;37.2;303.7;56.3;3.7;14.9;2.1;3.3;9.5;2.7;5.7;0.3;5.8;8.9;0.2;2.6;0.1;5.1;0.2;4;2.6;6.2;4.4;1.2;0;6.1;9;15.1;12.3;11;29;12.4;16.6;18
PSG15;20.6;9.1;29.8;16.5;14.1;11.5;1.6;0.1;3.2;19.1;2.6;2.2;8.5;2;0.1;1.1;0.9;626.6;29.7;20.7;521.8;54.5;4.3;13.9;1.9;2.6;11.8;1.6;4;1.1;7.6;8.9;0.3;3;0.4;4.6;0.3;5.8;2.3;7.7;3.3;1.7;0;10.3;11.7;22;11.9;10.4;24.1;14.6;9.6;83
Marseille15;19.9;8.9;28.8;15.6;14.7;14;1.7;0.1;3.3;26.4;2.9;1.8;7;2.5;0.1;1.3;1.1;429.2;35;23.4;324.6;46.1;5.9;19.8;1.8;3.7;12.2;1.7;5.6;1;8.2;10.8;0.4;3.5;0.1;6.7;0.2;5.1;3;5.9;5.8;3;0;10.8;13.8;24.6;11.3;14.6;29.8;15.6;14.2;69
Lyon15;19.2;7.6;26.8;11.7;14.2;15.2;1.7;0;2.1;22.9;2;1.6;6.5;2.7;0.1;1.7;0.9;505.4;33.7;27.2;388.2;56.4;3.3;12.2;1.5;3.1;10.7;2.7;6.2;0.7;6.7;9.1;0.5;3.7;0.3;5.1;0.2;5.7;2.8;7.9;4.2;1.4;0;8.9;10.9;19.9;14;13.2;27.3;13.3;14;75
Monaco15;20.1;9.7;29.8;19.9;13.5;13.3;1.5;0.1;2.1;23.8;2.1;2.7;9.9;2.2;0;1.2;0.9;452.2;28.2;32.2;332.8;59;5.4;15.6;2.4;3.2;10.6;3.4;4.2;1;6.7;8.1;0.4;3.2;0.2;4.8;0.2;4.3;2.8;5.9;3.6;2.3;0.1;9.2;11.2;20.4;13.8;11.8;31.7;16.8;14.9;71
Saint-Etienne15;19;8.7;27.7;13.3;12.4;14.7;1.7;0.1;2.3;33.7;2.3;2.2;7.4;2.5;0.1;1.3;1.1;414.7;30.1;35.4;292.3;56.9;5;17.1;2;3.4;8.3;3.7;5;0.6;6.1;8.1;0.2;3.2;0.2;5.4;0.3;4;2.3;7.1;2.8;1.7;0.1;8.2;8.2;16.5;12.7;12.2;37.2;19.4;17.7;69
Montpellier15;21.9;10;31.9;20.9;16.2;13.7;1.3;0;2.1;28.9;2.5;2.8;9.7;3;0.1;1.7;1.2;379.4;28.8;42.8;246.5;61.3;4.2;14.9;1.6;3;8.2;7.2;4.2;0.7;5.6;6.7;0.4;3.2;0.2;4.6;0.1;3.7;2.2;5.3;3.2;1.9;0.1;8.7;9.2;17.9;16.1;14.8;38;18.3;19.8;56
Caen15;22.9;10.2;33.1;19;10.5;11.8;1.1;0.2;2.3;28.4;3;2.7;9.3;3.2;0.2;1.8;1.3;347.4;28.2;38.7;220.7;59.8;5.3;19.9;1.8;3.3;5.2;4.4;5.2;0.7;6.2;8.4;0.5;3.1;0.2;5.7;0.2;4.1;2.4;4.9;5;2.1;0.1;9.7;9.7;19.4;14.2;10.8;41.4;21.3;20.1;46
Lille15;17.6;8.1;25.7;17.2;16.3;12.2;1.7;0.1;1.5;25.6;2.1;3;8.2;2.5;0.1;1.4;1;454.4;28.3;30.7;336.9;58.6;4.3;15.3;1.5;2.8;12.2;3.8;6;0.4;5.8;9;0.3;2.7;0.2;5.6;0.1;3.9;2.7;7.3;2.9;1.9;0;7.8;9.5;17.3;13.6;13.2;32.2;16.8;15.3;56
Lorient15;16.3;7.4;23.7;15.7;11.7;12;1.4;0.1;2.1;24.8;2.1;2.4;8.2;3.4;0.2;2;1.2;451.6;35.7;37.8;319.6;58.6;4.4;15.8;1.9;3.1;8.2;4.7;5.5;0.6;6.7;9;0.4;3.3;0.1;5.1;0.3;4.6;3.1;7.2;3.7;1.9;0;5.7;10.2;15.9;13.6;14.7;33.4;15.9;17.5;43
Bordeaux15;19.2;8.1;27.3;13.6;14;13.2;1.6;0.1;2.1;29.4;2.3;2.5;7.9;2.4;0.2;1.4;0.9;448.4;36.3;33.3;326;52.8;5;16.6;1.6;3.4;10.4;4.4;5.3;0.7;6.8;9.7;0.2;2.7;0.2;5.9;0.2;4.2;2.7;8.2;2.8;1.8;0;6.2;7.1;13.3;12.7;11.9;34.4;17.4;17;63
Nantes15;20.8;8.7;29.5;18;10.2;15;1.9;0.1;2.2;30;2;2.1;8.1;2.6;0.2;1.4;1.1;390.5;28.7;36.4;266.5;58.9;4.7;15.6;1.5;2.9;6.1;3.9;5;0.6;5.6;8;0.2;2.8;0.2;5;0.2;3.6;2.6;5.7;3.6;1.9;0;8.6;9.9;18.5;12.6;11.1;42.3;20.3;21.9;45
Nice15;22.6;9.4;31.9;23.6;14.2;14.4;2.2;0.2;2.2;22.9;2.3;2.8;7.9;2.6;0.1;1.6;0.9;391.1;28.1;35.1;270.1;57.8;4.5;18.2;1.2;3.8;9.1;4.6;5.4;0.8;4.9;7.7;0.4;2.8;0.1;4.8;0.2;3.7;2.5;6.2;3.2;1.6;0.1;6.8;8.3;15.1;15.7;14.1;34.8;17.1;17.7;48
Rennes15;18.5;7.3;25.8;17.2;10.8;12.8;1.5;0;2.3;25.3;2.8;3.8;7;2.5;0.1;1;1.4;442.6;34.4;34.6;317.3;56.3;3.7;12.7;1.6;2.3;8.4;3.2;3.8;0.4;5.3;6.9;0.5;2.2;0.1;4.1;0.2;3.4;2.1;5.8;2;1.8;0;3.8;6.7;10.4;13.8;11.6;32.5;16.5;15.9;50
SC-Bastia15;19.9;9.2;29.1;15.3;12.9;14.8;2;0.1;2.6;30.7;2.7;2.6;7.5;2.8;0.1;1.5;1.3;369;32.2;40.8;238.2;57.9;3.4;14.9;1;2.5;7.8;5.1;4.1;0.6;3.7;5.5;0.3;2.4;0.1;3.6;0.2;3.1;1.6;3.7;3.5;1.2;0;8.9;7.1;15.9;12.5;10.7;39.2;18.4;20.8;47
Toulouse15;19.6;8.2;27.8;20.6;13.7;15.3;1.6;0.1;2.2;25.5;2.5;3.2;9.2;2.4;0.1;1.2;1.2;398.9;26.5;42.4;264.3;65.7;5.3;14.6;1.8;3.3;8.8;5.7;4.4;0.5;6.4;7.8;0.2;3.3;0.1;5.4;0.3;3.4;2.6;6.7;2.7;2;0;4.6;8.8;13.4;16.7;16.5;37;17.8;19.2;42
Guingamp15;20.6;9.9;30.6;18.5;14.3;12.5;1.6;0.2;2.3;25.3;2.3;3.3;7.7;3.1;0.2;1.5;1.4;336.4;23.6;41.7;214.9;56.2;4.4;16.9;1.4;2.6;8.8;5.3;3.3;0.5;5.6;6.2;0.3;2.8;0.2;4.3;0.2;3.7;1.5;4.4;2.8;2.2;0;6.7;6.6;13.3;10.6;11;36;17.3;18.7;49
Reims15;18.4;8.7;27.2;16;12.9;14.3;2;0.1;1.9;31.9;2.9;2.6;7.9;3.1;0.1;2;1;400.6;27.4;35.4;280.2;57.6;4.5;14.3;1.8;2.9;10.5;3.8;5.2;0.9;5.5;7.3;0.2;4;0.1;5.3;0.3;3.6;2.7;6.3;2.9;2.4;0;8.6;6.6;15.2;12.6;10.5;33.4;16.5;16.9;44
Metz15;22.3;8.7;31;16.4;10.5;15.8;1.9;0.1;2.3;28.3;2.8;3.3;8.7;2.6;0.1;1.7;0.8;356.1;31.1;45.2;220.1;59.7;4.1;13.6;1.7;2.3;7.2;5.5;6.2;0.4;5.2;8.5;0.1;3;0.3;5.4;0.1;4;2.4;5.4;4.5;1.8;0.1;6.4;6.9;13.3;14.3;11.7;40.7;21.3;19.4;30
Lens15;21.4;9.6;30.9;14.8;10.9;14.5;1.8;0.1;1.7;25.8;2.5;2.7;8.2;2.9;0;1.6;1.3;376.9;26.2;38.8;247.3;64.6;4.4;15.5;1.3;2.7;7;4.2;4.2;0.5;5.9;7.2;0.4;2.8;0.2;4.9;0.2;3.3;2.4;4.8;3.8;1.9;0;7.7;7.9;15.6;12.7;10.9;41.5;20.4;21.1;29
Thonon-Evian15;20.1;9.8;29.9;19.2;11.7;14;1.8;0.1;2;30.1;2.1;2.7;10.7;2.7;0.1;1.6;1.1;357.7;29;44.7;225.8;58.2;4;15.1;1.3;2.7;7.7;4.9;4.1;0.6;4.1;5.4;0.4;2.9;0.1;4.1;0.1;2.8;1.9;5.3;2.1;1.3;0;6.4;7.1;13.6;13.4;11.6;38.2;17.4;20.8;37
PSG14;18.5;5.4;23.9;14.6;13;11.9;1.6;0;3.4;18.7;2.8;2.9;5.7;2.1;0.1;0.9;1.2;609.3;41.3;13.9;499.7;54.5;5.5;15.6;2.5;3.2;0;0;4.9;0.1;10.6;10.4;0.6;0.9;0.3;6.1;0.3;6.1;3.4;8.4;4.3;3;0.1;5.9;8.2;14.1;12.3;13.5;21.6;13.3;8.3;89
Monaco14;19.7;6.8;26.6;15.9;13.9;14.1;1.7;0;2.1;24.9;2;2.7;7.2;2.6;0.2;1.1;1.3;468.9;27.4;19.1;359.9;62.5;5.6;18.4;2.5;3.1;0;0;6.2;0;7.8;9.4;0.4;0.8;0.1;5.8;0.4;5;3.2;6.8;5.2;1.9;0.1;7.5;8.4;16;13.1;12;27;14.6;12.4;80
Lille14;18.6;7.1;25.6;15.6;14.3;14.1;1.4;0.2;2.9;29.5;2.2;2.1;5.8;2.4;0.2;1.3;0.9;431.7;29.5;23.4;314.3;64.4;5.4;17.1;2;3.1;0;0;6;0;7;9.1;0.2;1;0.2;5.6;0.2;4.7;2.8;8.5;1.7;2.8;0;6.1;7.6;13.7;11.8;14.5;34;18.5;15.5;71
Saint-Etienne14;19.1;6.8;25.9;12.4;12.1;14.4;1.8;0.1;2.1;39.2;2.3;2.9;6.8;2.1;0.1;1;1.1;383.9;30;22.7;271.2;60;5.3;17.9;1.5;2.9;0;0;5.4;0;7.5;9.1;0.2;0.9;0.1;5.9;0.3;4.7;2.3;6.2;4.2;2.5;0.1;7.3;7;14.2;11.6;10.8;39.2;20.8;18.3;69
Marseille14;19;7.4;26.3;12.8;13.6;13.9;1.6;0;2.2;32.1;2.3;3.2;6.2;2.2;0.1;1.3;0.8;400.3;32.7;21.3;294.2;52.2;5.7;19.1;1.7;3.5;0.1;0;5.9;0;7.8;10.5;0.3;0.7;0.1;5.8;0.3;5.1;2.9;6.4;4.9;2.4;0;9.1;10.1;19.2;11.2;12.3;33.2;16.2;17.1;60
Bordeaux14;20.8;7.1;27.9;14.8;13;13.2;1.3;0.2;2.4;23.6;1.9;2.9;7.8;2.8;0.1;1.6;1.1;410.6;39;25.3;285.1;61.1;5.4;19.5;1.4;3.3;0;0;5.3;0;6.7;9;0.2;0.6;0.2;5.3;0.2;4.4;2.3;6.7;3.1;2.1;0.1;4.6;6.5;11.1;11.6;10.7;36.7;19.6;17.1;53
Lyon14;18.5;6.8;25.3;11.6;12.1;14.6;1.4;0.2;1.9;26;1.6;2.3;6.4;2.3;0;1.4;0.9;419.5;33.2;20.2;309.2;57;4.4;16.2;1.6;3.6;0;0;6.4;0;6.6;9;0.2;0.7;0.1;5.7;0.1;4.7;2.6;8.1;3.3;1.6;0;7.7;8.8;16.5;13.3;12.7;30.6;16.2;14.4;61
Reims14;19.1;6.5;25.6;17.7;10.6;13.9;1.5;0.1;1.6;31.3;3.2;3.6;5.6;3.8;0.1;1.8;1.9;377.2;28;25;257.4;66.8;4.6;14.2;1.6;2.3;0;0;5.2;0.1;6.3;8;0.4;0.7;0.1;5.6;0.3;3.7;2.2;6.2;3.3;1.9;0.2;6.5;7.1;13.6;13.4;12.8;36.1;17.9;18.2;48
Toulouse14;21.9;7.7;29.7;17.9;14.6;13.6;2;0.1;2.5;25.4;2.7;2.2;7.6;2.5;0.1;1.2;1.2;452.5;25.2;19.3;337.7;70.4;5.9;17.8;2;2.5;0;0;4.1;0;7.4;8.6;0.2;0.8;0.2;5.2;0.3;4.3;2.1;6.5;3.1;2;0.1;7.3;8.5;15.8;15.4;15.1;31.8;15.8;15.9;49
Rennes14;19;6.2;25.2;14.7;12.3;11.6;1.3;0.1;1.7;32.7;3.6;3.8;6.2;3.2;0.1;2;1.1;404.1;25.1;22.2;294.8;62;2.7;14.8;1.5;2.5;0;0;4.2;0;6.1;7.6;0.3;0.5;0.1;4.1;0.2;3.8;2.4;5.9;3.4;1;0;5.3;6.7;12;12.4;15.4;30.1;13.2;16.9;46
Nantes14;21.7;8.6;30.3;16.1;10.2;14.1;1.4;0.1;2.2;32.1;2.3;3.1;7.4;2.6;0.2;1.5;0.9;355.8;23.6;25.4;244.6;62.2;4.6;16.5;1.6;2.9;0;0;4.4;0;6.4;7.6;0.3;0.9;0.1;4.9;0.1;3.5;2.3;5.2;3.3;2.2;0;6.3;6.5;12.8;13.9;11.9;36.8;16.4;20.4;46
Montpellier14;19.8;8.4;28.3;16.1;14.7;12.7;1.6;0.4;2.5;37.6;2.6;3.1;7.7;2.7;0.1;1.5;1.1;361.4;26.3;28.4;245.9;60.8;4.2;14.6;1.9;2.6;0.1;0.2;5;0;6.6;8;0.3;0.8;0.1;5.2;0.2;3.9;2.6;6.4;3.3;1.9;0;8.7;7.2;15.8;12.4;12.4;36.3;18.1;18.2;42
Lorient14;18.5;6.9;25.4;15.8;11.5;11.7;1.3;0.2;2.2;21.1;2.1;2;6.4;2.4;0.1;1.2;1;397.7;32.8;23.1;276.1;65.7;3.2;15.2;1.4;3.3;0.2;0;5.1;0.1;6.5;8.8;0.2;0.5;0.2;4.9;0.2;4.1;2.7;5.7;4.6;1.4;0;5.9;7.1;12.9;12.6;16.2;29;14.5;14.5;49
Thonon-Evian14;19.6;8.1;27.7;17.6;11.2;14;1.8;0.1;2.1;29.2;2.2;2.7;8;2.8;0.1;1.7;1;354.2;31.7;31.3;229.2;62.1;3.8;13.1;1.6;2;0;0;4.7;0;6;7.8;0.2;0.8;0.1;5;0.2;3.7;2;6.8;2.3;1.6;0.1;4.3;5.1;9.3;12;11.9;36.7;16.6;20.2;44
Guingamp14;18.6;7.3;25.8;17.5;14.5;14.6;1.7;0.1;2.9;25.1;2.8;3;6.4;3;0.1;1.7;1.2;337.4;21.3;24.9;224.6;66.6;5.4;21.7;1.6;3.4;0.3;0.1;4.3;0.1;7.2;8.1;0.2;0.8;0.2;5.9;0.2;3.7;2;5.9;3.2;2.5;0;6.8;5.6;12.4;12;10.9;34.1;17.7;16.4;42
Nice14;19.4;7.4;26.8;15.6;14.2;13.3;1.5;0.1;1.9;25.6;1.9;2.2;7.3;3.3;0.1;1.8;1.4;422.2;30.9;20.4;306.9;63.9;4.3;18.5;1.1;3.3;0;0;4.1;0;5.6;6.2;0.3;0.9;0.1;4.6;0.2;3;2.1;5.9;2.3;1.5;0.1;6.8;7.2;14;14.3;14.2;30.9;15.6;15.3;42
Sochaux14;18;6.8;24.8;16;12.9;15;1.9;0.1;2.4;28.7;2.6;2.4;6.7;3.2;0.1;1.6;1.5;329.9;23.1;28.7;212.2;65.9;5.1;18.9;1.9;2.7;0;0;5;0;6.3;7.7;0.3;0.6;0.1;5.1;0.2;3.8;2.4;6.4;2.7;2.1;0;6.9;6.3;13.2;12.9;11.3;44.1;21.8;22.3;40
Valenciennes14;19.2;7.4;26.6;14.6;12.8;14.3;1.6;0.1;1.9;27.6;2.4;2.5;5.6;2.4;0.1;1.4;0.8;332.3;28;24.8;226.3;53.2;4.8;19.2;2;3.8;0.4;0.1;5;0.1;6.1;7.8;0.3;0.7;0.2;4.7;0.2;3.7;2.7;7.1;2.3;1.7;0.1;7.4;7.3;14.7;13.9;12.7;30.6;13.9;16.7;29
SC-Bastia14;17.2;5.9;23.1;14.2;12.6;13.5;1.7;0.2;2.2;24.2;2.3;2.7;5.9;2.6;0.1;1.3;1.3;366.6;32.2;23.9;248.3;62.2;3.9;14.4;1.4;2.8;0;0;5;0;5.5;7.2;0.7;0.7;0.1;4.7;0.1;3.6;2.2;5.5;3.3;1.7;0.1;5;5;10;11.7;12.7;31.5;14.7;16.8;49
AC-Ajaccio14;18.7;7.5;26.2;14;14;15.7;1.8;0.1;2.4;25.8;3.1;3.5;5.7;3.5;0.3;1.7;1.5;318.8;24.8;24.1;211.7;58.1;2.8;13;0.6;2.3;0.3;0.1;4.3;0.1;4.5;6.4;0.1;0.9;0;4.2;0.2;2.8;1.9;4.6;3.2;1.1;0;4.3;5.8;10.1;12.6;11.5;32.2;16.2;15.9;23
PSG13;19.4;7.4;26.8;18.2;11.7;12.3;1.9;0.3;3.7;23.6;3.5;2.6;0;2.8;0.1;1;1.7;516.4;33.2;13.8;407.8;61.7;5;13.7;2.6;2.6;0;0;4.6;0.1;8.9;9.2;0.5;0.8;0.1;5.6;0.4;5.2;2.6;7.8;3.9;1.8;0.1;7.9;6.5;14.4;11.3;12;21.6;13.3;8.3;83
Saint-Etienne13;19.4;5.7;25.1;19.5;11.4;13.3;1.5;0.1;2.8;28.9;2;2.9;0;2.2;0.1;1.3;0.8;435.9;33.7;21.4;315.5;65.2;5.3;20.2;2;4.2;0.2;0;4.7;0;7.8;8.9;0.9;0.4;0.1;5.2;0.2;4.9;2.4;7.5;2.9;2.1;0;7.4;5.1;12.5;12.8;11.3;28.6;15.3;13.3;63
Marseille13;19.1;5.7;24.8;14.8;13.7;13.4;1.3;0.2;2.8;31.5;2.3;2.9;0;2;0.1;1.2;0.8;407.3;29.1;22.8;300.3;55.1;6.1;20.1;2.3;4;0;0;6;0;7.7;10.1;0.4;0.6;0.1;6.3;0.2;4.7;2.7;7.7;3.4;2.5;0.1;9.1;7.8;16.9;12.5;12.9;29.5;13.8;15.7;71
Lyon13;19;5.7;24.7;17.6;14.2;15.1;1.7;0.2;2.9;25.6;1.8;1.8;0;2.5;0.1;1.5;0.9;458.1;30.9;20.7;340.8;65.7;4.2;16.2;1.6;3.5;0;0;5.1;0;7.3;8.6;0.3;0.6;0.3;5.4;0.3;4.4;2.6;7.4;3.5;1.5;0;7.2;6.7;13.9;12.9;11.6;22.4;12.5;9.9;67
Montpellier13;17.7;6.6;24.4;22;15.7;15.8;1.7;0.2;2.7;37.8;1.9;1.8;0;2.3;0;1.4;0.9;417.7;29.7;23.9;302.8;61.2;4.7;15.8;2.4;2.8;0.3;0;5.5;0;7.3;8.7;0.4;0.9;0.1;5.8;0.2;4.4;2.6;6.4;4.3;2.1;0;9.4;7.3;16.7;11.6;11.7;27.9;13.3;14.7;52
Lorient13;17.9;5.8;23.7;21.6;12.9;11.3;1.4;0.2;3.3;21.9;1.7;2.1;0;3;0.1;1.7;1.2;424;26.4;21.2;306.6;69.7;4.3;17.6;1.4;4.4;0.2;0.1;5.6;0;7.1;8.9;0.4;1.1;0.1;5.3;0.2;4.9;2.5;5.2;5.8;1.6;0.1;9.2;7;16.2;12.7;10.7;27.1;12.9;14.2;53
Toulouse13;20.9;5.8;26.7;17.3;15.1;17;1.7;0.2;2.6;28;2.3;1.6;0;3;0.1;1.4;1.6;410.7;28.1;21.1;299.8;61.6;5.4;18.3;2.3;3.3;0;0;4.7;0;7.1;8.6;0.2;0.9;0.1;4.9;0.2;4.1;2.7;5.6;4.1;2;0;5.8;7.4;13.2;13.6;16.5;28.8;15.5;13.3;51
Bordeaux13;18.9;5.3;24.2;16.8;13.8;12.9;1.7;0.1;2.3;26.5;1.6;1.9;0;2.4;0;1.4;1.1;415;32.9;26.1;289.6;66.4;5.2;20.3;1.6;3.6;0;0;6.1;0;6.9;8.9;0.3;0.8;0.1;5.5;0.2;4.7;2.8;6.8;4;2.1;0.1;5.8;4.8;10.7;11.2;8.8;34.4;17.3;17.2;55
Sochaux13;17.9;5.1;23;21.6;13.4;13.4;1.6;0.1;2.1;40.9;3;2.9;0;3.2;0.2;1.4;1.6;343.2;24.7;24.6;235.9;57.9;3.7;13.7;1.4;2.8;0.2;0.1;4.4;0.1;5.6;5.9;0.5;1.2;0.1;4.7;0.2;3.5;1.9;3.5;4.5;1.9;0.1;3.9;6;9.9;12.2;12.8;31.5;14.7;16.8;41
Nancy13;20.6;7.3;27.9;18.6;12.4;14.8;1.7;0.1;2.9;29.6;2.8;2.4;0;3.2;0.2;1.8;1.2;377.1;27.6;23.9;261.6;64;5.2;16.1;1.9;3;0;0;6.2;0;6.3;8.3;0.4;1.2;0.1;5.6;0.2;4.6;2.3;7.9;2.3;2.2;0.1;8.6;8.5;17.1;13.9;10.1;30.4;15.3;15;38
Lille13;16;5.5;21.4;19.6;14.3;14;1.6;0.1;3.2;22.4;1.6;1.3;0;2.2;0;1.3;0.9;500.9;36.4;18.5;379.5;66.6;5.2;17.8;1.9;3.4;0.4;0;7;0.1;7.1;9.8;0.4;0.9;0.1;6.4;0.3;4.9;2.7;9.4;2.2;2.4;0.1;5.7;5.7;11.3;10.7;14.8;30.4;16.5;14;62
