;Tackles_TotalTackles;Tackles_DribbledPast;Tackles_TotalAttemptedTackles;Interception_Total;Fouls_Fouled;Fouls_Fouls;Cards_Yellow;Cards_Red;OffSides_CaughtOffside;Clearances_Total;Blocks_ShotsBlocked;Blocks_CrossesBlocked;Blocks_PassesBlocked;Saves_Total;Saves_SixYardBox;Saves_PenaltyArea;Saves_OutOfBox;PassesLength_Total;PassesLength_AccLB;PassesLength_InAccLB;PassesLength_AccSP;PassesLength_InAccSP;PassesType_AccCr;PassesType_InAccCr;PassesType_AccCrn;PassesType_InAccCrn;PassesType_AccFrK;PassesType_InAccFrK;ShotsZones_OutOfBox;ShotsZones_SixYardBox;ShotsZones_PenaltyArea;ShotsSituations_OpenPlay;shotsSituations_Counter;ShotsSituations_SetPiece;ShotsSituations_PenaltyTaken;ShotsAccuracy_OffTarget;ShotsAccuracy_OnPost;ShotsAccuracy_OnTarget;ShotsAccuracy_Blocked;ShotsBodyParts_RightFoot;ShotsBodyParts_LeftFoot;ShotsBodyParts_Head;ShotsBodyParts_Other;Dribbles_Unsuccessful;Dribbles_Successful;Dribbles_Total;PossesionLoss_UnsuccessfulTouches;PossesionLoss_Dispossessed;Aerial_Total;Aerial_Won;Aerial_Lost;Pts
Saint-Etienne11;20.3;5.4;25.6;16.3;13.4;15.8;1.7;0.1;2;32;2.9;2.4;0;3.1;0.2;1.1;1.8;392.7;33.2;29.1;267.4;63.1;4.3;16.8;1.6;3.2;7.9;3.4;5.1;0.7;7;7.8;0.8;1.1;0.2;6.1;0.2;4.4;2.2;6.2;4.4;2.1;0.1;6.8;5.1;11.9;10.9;12;20.2;10.7;9.5;49
Nice11;21.3;6.1;27.4;13.7;15.8;13.6;2.1;0.1;2.8;28.7;2.9;2.6;0;3.1;0.1;1.6;1.4;371.8;29.1;29.7;256.8;56.1;4.1;13.9;1.1;2.5;8.4;4.3;5.3;0.7;4.9;6.8;0.7;1.2;0.1;4.7;0.1;3.7;2.5;3.9;5;2;0.1;11;6.8;17.8;10.4;11.9;20.5;9.4;11.1;46
Montpellier11;20.2;6.8;27;15.4;17.5;18.6;2.1;0.2;2.9;29;1.8;1.9;0;2.8;0.1;1.4;1.3;400.4;28;26.2;277.1;69.2;5.1;15.6;1.3;2.7;8;4.7;6.4;0.6;6.4;9.3;0.3;1.1;0.1;6.1;0.3;4.3;3;5.2;6.2;2.1;0;8.3;6.9;15.2;11.4;13.2;20.9;10.6;10.3;47
Arles-Avignon11;21.5;7.5;29;22.9;14;17.3;1.8;0.2;2.4;25.3;3.3;2.3;0;3.4;0.2;1.9;1.4;365.3;24.7;30.4;235.2;75;3.9;15;1.2;2.9;6.6;4.5;5.1;0.3;4.6;5.9;0.7;0.7;0;4.7;0.2;2.6;2.6;4.3;3.9;1.6;0;7.5;5.3;12.7;10.1;10.3;24.1;13.4;10.7;20
Lyon10;22;6.3;28.3;24.9;14.2;16.6;1.7;0.1;2.5;31.6;2;3;0;3.2;0.1;1.6;1.5;431.7;30.8;26.1;303.4;71.4;6.4;21.4;2.3;3.9;8.1;3.4;7.6;1;7;10.7;0.3;0.7;0.1;7;0.4;4.7;3.8;7.5;5.8;2.3;0;6.1;5.4;11.5;0;13.2;20;10.5;9.5;72
Marseille10;19.4;6.4;25.8;19.8;18.2;15.8;1.7;0.1;1.9;28.7;2.2;2.8;0;2;0.1;1;0.9;412.2;29.2;24.1;292;66.9;6.4;17.6;2.3;2.9;11.2;3.6;7.2;1.1;7.5;9.8;0.4;1.5;0.2;7.4;0.3;5.4;2.9;7;5.7;2.9;0.1;10;7.4;17.3;0;11.2;24;11.7;12.2;78
Auxerre10;21.4;7.8;29.3;20.4;14.7;13.4;1.4;0.1;2.6;33;2.6;3.3;0;2.6;0.1;1.5;0.9;390.3;34.5;29.5;250.7;75.6;5.4;18.7;1.6;2.6;7.4;3.9;4.7;0.4;5.5;7.7;0.4;0.8;0.1;5.1;0.2;3.9;1.7;6.1;2.8;1.7;0;6.1;6;12;0;13.3;23.8;10.9;13;71
Bordeaux10;21;4.7;25.7;20.6;17.8;15.2;1.7;0.2;1.9;24.7;2.2;1.8;0;2.3;0.1;1.3;0.9;455.7;36.5;21.1;330.4;67.7;5.4;15.6;1.8;2.6;9.9;2.7;6.6;0.6;6.5;8.2;0.4;1.2;0.2;5.9;0.2;4.8;3;6.4;4.7;2.6;0;8.8;5.4;14.3;0;11;22;11.9;10.1;64
Lorient10;21.3;8.1;29.4;23.1;15.1;13.4;1.5;0.1;1.8;33.8;2.7;2.6;0;3.8;0.3;1.8;1.7;389.3;27.6;32.3;258.8;70.7;4.2;17.2;1.4;3.6;7.9;4.7;5.2;0.5;6.6;8.2;0.6;0.7;0.1;5.3;0.2;4.2;2.7;7.8;3.1;1.4;0.1;8.2;6.3;14.5;0;15.9;19.4;8.8;10.6;58
Lille10;21.4;6.4;27.7;19.6;17.3;16.8;1.8;0.1;2.7;26.2;2.4;1.6;0;2.4;0.1;1.1;1.3;408.7;32.2;24.2;279.2;73.1;4.4;20.5;2.6;4.2;8.8;3.3;6.5;1.2;7.6;9.7;0.7;1.3;0.3;6.3;0.3;5.7;3.4;10.2;3;2.1;0;9.9;8.2;18.2;0;11.8;21.3;11.2;10.2;70
