X	Tackles_TotalTackles	Tackles_DribbledPast	Tackles_TotalAttemptedTackles	Interception_Total	Fouls_Fouled	Fouls_Fouls	Cards_Yellow	Cards_Red	OffSides_CaughtOffside	Clearances_Total	Blocks_ShotsBlocked	Blocks_CrossesBlocked	Blocks_PassesBlocked	Saves_Total	Saves_SixYardBox	Saves_PenaltyArea	Saves_OutOfBox	Pts
Montpellier11	20.2	6.8	27	15.4	17.5	18.6	2.1	0.2	2.9	29	1.8	1.9	0	2.8	0.1	1.4	1.3	47
Arles-Avignon11	21.5	7.5	29	22.9	14	17.3	1.8	0.2	2.4	25.3	3.3	2.3	0	3.4	0.2	1.9	1.4	20
Lyon10	22	6.3	28.3	24.9	14.2	16.6	1.7	0.1	2.5	31.6	2	3	0	3.2	0.1	1.6	1.5	72
Marseille10	19.4	6.4	25.8	19.8	18.2	15.8	1.7	0.1	1.9	28.7	2.2	2.8	0	2	0.1	1	0.9	78
Auxerre10	21.4	7.8	29.3	20.4	14.7	13.4	1.4	0.1	2.6	33	2.6	3.3	0	2.6	0.1	1.5	0.9	71
Bordeaux10	21	4.7	25.7	20.6	17.8	15.2	1.7	0.2	1.9	24.7	2.2	1.8	0	2.3	0.1	1.3	0.9	64
Lorient10	21.3	8.1	29.4	23.1	15.1	13.4	1.5	0.1	1.8	33.8	2.7	2.6	0	3.8	0.3	1.8	1.7	58
Lille10	21.4	6.4	27.7	19.6	17.3	16.8	1.8	0.1	2.7	26.2	2.4	1.6	0	2.4	0.1	1.1	1.3	70
Valenciennes10	21.8	6.2	28.1	21	14.9	18.7	1.9	0.1	2.4	26.1	2.7	2.3	0	3.4	0.1	1.8	1.5	52
Monaco10	22.2	6.4	28.6	20	17.6	17.8	2.4	0.1	2.8	31.9	3.2	2.7	0	3.1	0.2	1.6	1.4	55
Saint-Etienne10	21.8	5.5	27.3	21	15.1	15.4	1.6	0.1	2.1	29.2	2.8	2.2	0	3.7	0.1	2.1	1.5	40
Rennes10	20.8	6.3	27.1	15.1	13.3	15	1.3	0.2	2.8	30.4	2.4	2.6	0	2.7	0.2	1.6	1	53
Toulouse10	20.5	5.6	26.1	17.3	14.6	18.7	1.9	0.1	1.9	29.8	2.8	1.9	0	2.8	0.1	1.3	1.4	47
Nancy10	19.4	6.4	25.8	20.9	14.9	15.3	1.7	0.2	1.8	29.9	2.7	2.3	0	2.9	0.1	1.7	1.2	48
Lens10	22.8	5.7	28.6	17.9	16.3	17.3	1.6	0.1	2.5	26.6	2.6	2.6	0	3	0.1	1.4	1.5	48
Montpellier10	18.3	5.7	24	15.1	17.7	19.1	2.2	0.2	1.8	31.8	2.5	1.9	0	2.1	0.1	1.1	0.9	69
Nice10	20.4	6.7	27.1	21.9	15.1	17.4	1.9	0.1	2.2	35.9	2.4	2.1	0	3.5	0.2	1.8	1.6	44
PSG10	20.1	6	26.1	18.4	13.8	15.8	1.5	0.1	2.2	24.7	2.3	2.8	0	3	0.1	1.3	1.5	47
Sochaux10	18.3	4.9	23.2	15.4	14	15.2	1.5	0.1	1.6	37	2.6	3.1	0	3.6	0.2	1.6	1.8	41
Boulogne10	22.6	8.4	31	21.6	12.9	15.7	2.1	0.2	1.2	31.7	3.6	2.9	0	3.4	0.1	2.1	1.2	31
Le-Mans10	21	6.4	27.4	15.9	13.7	17.6	2.3	0.2	2.1	21.7	3.2	2.9	0	3.3	0.1	1.7	1.5	32
Grenoble10	20.7	5.9	26.6	17.8	17.2	14.8	1.7	0.2	2.4	27.2	2.2	2.9	0	2.9	0.2	1.6	1.2	23
